# ML Zoomcamp 2026 full distrust audit; active occurrence rows are final state.
# Contact sheets: all nine module sheets reviewed; native/lesson-size spot checks included.
# Status is explicit per occurrence: final active rows PASS; pre-fix action rows FAIL with disposition.
record	status	disposition	module	lesson	line	reference	alt_or_label	source_type	dimensions	crispness	overlays	fidelity	context_before	context_after	note	remote_check
active	PASS	KEEP	01-intro	01-what-is-ml.md	51	images/01-what-is-ml-05-model-training-imagegen-pilot.png	Model training: features and target go in, a model comes out	conceptual imagegen	1536x1024	PASS	none	PASS	Training means taking the features and the target and giving them to a machine learning algorithm. The algorithm produces a model.	The model encapsulates all the patterns it learned from the data. It is a single artifact we can save and use later.		
active	PASS	KEEP	01-intro	01-what-is-ml.md	59	images/01-what-is-ml-06-using-model-imagegen-pilot.png	Using a model: features go in, predictions come out	conceptual imagegen	1751x898	PASS	none	PASS	Once we have the model, we can use it to predict prices of cars for which we don't know the price. We take the features - all the information about a car except the price, because this is what we want to predict - put them into the model, and the model outputs the prediction.	The model is not always able to predict the exact price of a specific car. But the predictions are usually correct on average: for a car of this year, this make and this mileage, this is roughly how much such a car costs. For a specific car it might be a bit lower or higher.		
active	PASS	KEEP	01-intro	01-what-is-ml.md	67	images/01-what-is-ml-07-suggest-price-imagegen-pilot.png	The form the model helps to fill with a suggested price	conceptual imagegen	1432x1098	PASS	none	PASS	Back to the seller on our website. They fill in the form with all the information about their car. We extract the features - year, make, mileage and so on - put them into the model, and it gives us the predicted price. We put this prediction into the price field for the user.	The user is happy: they don't have to research prices themselves. If they want, they can still adjust the price - put it higher or lower - but the model gives them a good starting point.		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	14	images/02-ml-vs-rules-01-spam-examples-imagegen-pilot.png	Examples of spam emails	conceptual imagegen	1626x967	PASS	none	PASS	We want to fight these emails. The plan: add a spam folder and send everything that is spam there. To do this we need a classifier - something that classifies each email into spam or not spam.	## The rule-based approach		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	25	images/02-ml-vs-rules-02-rules-imagegen-pilot.png	The rules we came up with	conceptual imagegen	1642x958	PASS	none	PASS	We turn these observations into rules, write them down in Python and deploy the system:	"It works - for a while. Then people start complaining about other kinds of unsolicited messages, for example a ""prize"" email that asks you to pay a small fee and deposit $10 to some account. We analyze it, notice that all these spam messages contain the word ""deposit"", and add a new rule: if the body contains the word ""deposit"", mark the message as spam."		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	29	images/02-ml-vs-rules-03-more-spam-imagegen-pilot.png	A new kind of spam that mentions a deposit	conceptual imagegen	1629x965	PASS	none	PASS	"It works - for a while. Then people start complaining about other kinds of unsolicited messages, for example a ""prize"" email that asks you to pay a small fee and deposit $10 to some account. We analyze it, notice that all these spam messages contain the word ""deposit"", and add a new rule: if the body contains the word ""deposit"", mark the message as spam."	"That works fine for a little while too - until a genuine user, Pedro, writes about the deposit he paid and wants to get back. His legitimate email contains the word ""deposit"", so our system incorrectly marks it as spam."		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	58	images/02-ml-vs-rules-04-features-imagegen-pilot.png	The six binary features for our spam example	conceptual imagegen	1628x966	PASS	none	PASS	- And so on.	"Notice that many of these features come directly from the rules we had before - the particular sender, the domain, the word ""deposit"". It is actually a good idea to start with a rule-based system and not jump into machine learning immediately: the rules you learn along the way become features for the machine learning system."		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	66	images/02-ml-vs-rules-05-encode-email-imagegen-pilot.png	Encoding an email as a vector of features	conceptual imagegen	1628x966	PASS	none	PASS	"Now we can encode every email as a vector of feature values. For the spam email below: the title is longer than 10 characters (1), the body is long (1), the sender is not `promotions@online.com` (0), it is not the hard-to-read sender (0), the sender domain is ""test.com"" (1), and the body contains the word ""deposit"" (1). And because the user marked this email as spam, the target is 1."	We do this for every email until we have a dataset: the feature values for each email plus the target variable - spam or not spam.		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	81	images/02-ml-vs-rules-06-predictions-imagegen-pilot.png	The model outputs a probability for each email	conceptual imagegen	1629x966	PASS	none	PASS	- 0.01 - very unlikely to be spam.	To actually make a decision - put an email in the spam folder or not - we define a threshold. For example: if the predicted probability is greater than or equal to 0.5 (more than 50% chance of being spam), we put the message in the spam folder. Everything predicted as spam goes to the spam folder, everything else goes to the inbox.		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	91	images/02-ml-vs-rules-07-rule-based-summary-imagegen-pilot.png	Rule-based systems: data and code go into the software, which produces the outcome	conceptual imagegen	1770x889	PASS	none	PASS	In a rule-based system, we extract rules ourselves and write them in code. The data (emails) and the code together form the software, and the software produces the outcome: spam or not spam. The rules are hard-coded - and, as we saw, such a system becomes difficult to maintain.	In machine learning, the roles flip. The outcome - spam or not spam - becomes the input to the machine learning algorithm, together with the data. The algorithm produces a model. Then, for cases where we don't know the outcome, we take the data and the model, and the model produces the prediction.		
active	PASS	KEEP	01-intro	02-ml-vs-rules.md	95	images/02-ml-vs-rules-08-ml-summary-imagegen-pilot.png	Machine learning: data and outcomes go in, a model comes out	conceptual imagegen	1537x1023	PASS	none	PASS	In machine learning, the roles flip. The outcome - spam or not spam - becomes the input to the machine learning algorithm, together with the data. The algorithm produces a model. Then, for cases where we don't know the outcome, we take the data and the model, and the model produces the prediction.	So in usual software we hard-code the outcome in the code. In machine learning the outcome is the input, and the rules are learned automatically from data.		
active	PASS	KEEP	01-intro	03-supervised-ml.md	24	images/03-supervised-ml-01-features-target-imagegen-pilot.png	The feature matrix X and the target vector y	conceptual imagegen	1695x928	PASS	none	PASS	The data we show the model has two parts:	- The feature matrix, usually written as capital X. A matrix is a two-dimensional array: the rows are our observations - the objects we want to make predictions for, one row per email - and the columns are the features.		
active	PASS	KEEP	01-intro	03-supervised-ml.md	29	images/03-supervised-ml-02-feature-matrix-imagegen-pilot.png	Rows of X are observations, columns are features; y has one value per row	conceptual imagegen	1536x1024	PASS	none	PASS	- The target variable, usually written as lowercase y. It is a vector - a one-dimensional array of numbers. For each row of X it contains the answer: 1 if the email is spam, 0 if not.	If you studied math a long time ago, don't worry about the terminology: X is just a two-dimensional array - an array of arrays, or a table - and y is a one-dimensional array of numbers.		
active	PASS	KEEP	01-intro	03-supervised-ml.md	45	images/03-supervised-ml-03-predictions-imagegen-pilot.png	The model produces predictions for each row of features	conceptual imagegen	1536x1024	PASS	none	PASS	When we apply the trained g to the features, we get predictions:	## Types of supervised machine learning		
active	PASS	KEEP	01-intro	03-supervised-ml.md	55	images/03-supervised-ml-04-regression-imagegen-pilot.png	Regression: the output is a number	conceptual imagegen	1698x926	PASS	none	PASS	Regression is the car price case: g returns a number. The output can be any number from zero to plus infinity - or whatever range makes sense for the problem.	Predicting the price of a house is another example: from the number of square meters, the number of rooms, the distance from the center and the closest subway station, we predict that the house costs, say, $1 million. Anything where the output is a number is a regression problem.		
active	PASS	KEEP	01-intro	03-supervised-ml.md	68	images/03-supervised-ml-05-multiclass-imagegen-pilot.png	Multiclass classification: the output is one of several categories	conceptual imagegen	1695x928	PASS	none	PASS	- Multiclass classification: more than two categories. For example, classifying images into cats, dogs and cars. It can be ten categories, a thousand - as many as you need.	### Ranking		
active	PASS	KEEP	01-intro	03-supervised-ml.md	76	images/03-supervised-ml-06-ranking-imagegen-pilot.png	Ranking: items are scored and the top ones are shown	conceptual imagegen	1536x1024	PASS	none	PASS	Under the hood there is a function that scores every item - for example, the probability that you will like it, from 0 to 1. Then it takes all the items, sorts them by score and shows you the top results, for example the top six.	"Google search does something similar: when you search for ""machine learning zoomcamp"", it looks at all the documents containing this phrase, scores each one by how likely it is to be relevant for you, and shows the highest-scored document first. Search on marketplaces like eBay works the same way: type ""iPhone"" and the site shows what is most relevant for you first."		
active	PASS	KEEP	01-intro	03-supervised-ml.md	88	images/03-supervised-ml-07-summary-imagegen-pilot.png	Summary: g(X) approximates y, and y can be a number, a category, or a ranking	conceptual imagegen	1672x941	PASS	none	PASS	Depending on the type of the target variable, we get regression, classification - which can be multiclass or binary - and ranking.	In this course we focus mostly on classification, but the next lesson is about regression. Binary classification is probably the most widely used type of supervised machine learning - you will definitely encounter a problem that can be solved as binary classification.		
active	PASS	KEEP	01-intro	04-crisp-dm.md	12	images/04-crisp-dm-01-ml-projects-imagegen-pilot.png	The high-level steps of an ML project	conceptual imagegen	1627x967	PASS	none	PASS	For a machine learning project we need to understand the problem, collect the data, train the model and use it. Methodologies like CRISP-DM help us organize these steps in a way that is manageable, so we know what needs to happen and in which order.	To remind you the spam detection system from the previous lessons: we get an email, extract features from it, put them into the model, and the model gives a score to each email. If the score is higher than 50%, the email goes to the spam folder; otherwise it goes to the inbox. We will map this project to the methodology.		
active	PASS	KEEP	01-intro	04-crisp-dm.md	20	images/04-crisp-dm-02-process-diagram-imagegen-pilot.png	The CRISP-DM process diagram	conceptual imagegen	1628x966	PASS	none	PASS	The process has six steps. Let's go through each of them.	## Step 1: Business understanding		
active	PASS	KEEP	01-intro	04-crisp-dm.md	26	images/04-crisp-dm-03-business-understanding-imagegen-pilot.png	Business understanding in the CRISP-DM diagram	conceptual imagegen	1628x966	PASS	none	PASS	The goal of this step is to identify the problem we want to solve.	For our spam example: the problem is that users complain about spam. First, we want to understand to what extent it is a problem - do a lot of users complain, or is it just one user? This helps us understand how impactful the project is and whether it is worth investing time into it.		
active	PASS	KEEP	01-intro	04-crisp-dm.md	57	images/04-crisp-dm-04-data-preparation-imagegen-pilot.png	Data preparation: raw emails go through a processing pipeline into a table	conceptual imagegen	1693x929	PASS	none	PASS	For our spam detection system: we have all the emails and the spam marks, and the pipeline puts everything together into a table where we clearly see the sender, the receiver, the subject, the body, and - most importantly - the target variable.	"From this table we extract features - like ""does the body contain the word deposit"" - and get the feature vectors. The last column of each vector is the target: spam or not."		
active	PASS	KEEP	01-intro	04-crisp-dm.md	61	images/04-crisp-dm-05-features-target-imagegen-pilot.png	From emails to feature vectors with the target column	conceptual imagegen	1635x962	PASS	none	PASS	"From this table we extract features - like ""does the body contain the word deposit"" - and get the feature vectors. The last column of each vector is the target: spam or not."	This is exactly the format we talked about in the previous lesson: the feature matrix X and the target y.		
active	PASS	KEEP	01-intro	04-crisp-dm.md	91	images/04-crisp-dm-06-summary-imagegen-pilot.png	The six steps of CRISP-DM summarized	conceptual imagegen	1536x1024	PASS	none	PASS	We don't deploy and forget. We always iterate: we start simple, learn from the feedback, and improve.	It is a very good idea to always start simple. Do something very simple on the first iteration, quickly move through all the steps, evaluate, deploy - and learn from the process. You see that even a simple model is useful. Then go back to business understanding and make the model a bit more complex. Two or three fast iterations like this don't waste a lot of time, and you can quickly show that what you're working on is useful.		
active	PASS	KEEP	01-intro	05-model-selection.md	20	images/05-model-selection-01-train-validation-imagegen-pilot.png	Train data is used to fit g; the validation set is used to check it	conceptual imagegen	1536x1024	PASS	none	PASS	Of course, we cannot go into the future and take the August data. But we can do something close enough: take our dataset, put aside a small part of it - say 20% - and pretend this part doesn't exist. We train on the remaining 80% only. The held-out part plays the role of the August data; we call it the validation set.	From the training set we extract the feature matrix X and the target y, and we train the model g using only these. From the validation set we extract another matrix, Xv, and its target yv - the model has never seen them during training.		
active	PASS	KEEP	01-intro	05-model-selection.md	43	images/05-model-selection-02-multiple-comparisons-imagegen-pilot.png	Five coins evaluated on the same validation set	conceptual imagegen	1536x1024	PASS	none	PASS	We test several coins on the same validation set. A euro gets 20% correct. An American dollar gets 40%. A Polish zloty - 20%. A ruble - 20%. And then a Ukrainian hryvnia produces exactly the right sequence for all five emails and gets 100% correct.	Looking at the numbers, the hryvnia is the best model for spam detection. But we all know this is random: the coin just got lucky and produced the same sequence as in the validation data.		
active	PASS	KEEP	01-intro	05-model-selection.md	55	images/05-model-selection-03-train-valid-test-imagegen-pilot.png	The 60/20/20 split into train, validation and test	conceptual imagegen	1619x971	PASS	none	PASS	To guard against this, instead of holding out one dataset we hold out two:	- 20% for validation		
active	PASS	KEEP	01-intro	05-model-selection.md	67	images/05-model-selection-04-select-and-test-imagegen-pilot.png	The best model is checked once more on the test set	conceptual imagegen	1693x929	PASS	none	PASS	Then, to make sure this model didn't just get lucky on the validation set, we apply it to the test set - one extra round of validation. If the validation accuracy was 80% and the test accuracy is 79%, the numbers are close, and we conclude that the model indeed behaves well.	This is the model selection process, and being able to set it up is one of the most important skills in machine learning. As a recipe:		
active	PASS	KEEP	01-intro	06-environment.md	23	images/06-environment-01-create-repo-crisp.png	Creating a new repository on GitHub	original screenshot	1000x628	PASS	none	PASS	First, create a new repository on GitHub - for example, a repository where you will put your homework. Add a README file, make it public, and choose Python as the .gitignore template.	"Then open the Code dropdown, switch to the Codespaces tab, and click ""Create codespace on main"". GitHub creates a Visual Studio Code instance for you in the browser."		
active	PASS	KEEP	01-intro	06-environment.md	27	images/06-environment-02-create-codespace-crisp.png	Creating a codespace on the main branch	original screenshot	1040x644	PASS	none	PASS	"Then open the Code dropdown, switch to the Codespaces tab, and click ""Create codespace on main"". GitHub creates a Visual Studio Code instance for you in the browser."	"If you don't like using the browser - it should just work there - you can open the same environment in Visual Studio Code desktop: click the button in the corner and choose ""Open in VS Code"". The first time you launch VS Code desktop it will prompt you to install an extension for Codespaces; if it doesn't, go to the extensions view and search for ""GitHub Codespaces"" - you need that extension to connect to the remote instance."		
active	PASS	KEEP	01-intro	06-environment.md	33	images/06-environment-03-vscode-desktop-crisp.png	The codespace opened in VS Code desktop with a terminal	original screenshot	1040x720	PASS	none	PASS	Everything feels like developing locally. You can edit files, and you can open a terminal with Ctrl+` (or via the View menu). This is the usual file system of a remote Ubuntu machine - `git status`, `git commit` and `git push` all work, and pushing sends your changes back to GitHub.	One trick from the video: the default prompt is quite long, so there is little space left for the command you type. You can shorten it:		
active	PASS	KEEP	01-intro	06-environment.md	49	images/06-environment-04-push-pip-install-crisp.png	Pushing to GitHub and installing the libraries with pip	original screenshot	1280x520	PASS	none	PASS	Seaborn is a library for visualization. Later in the course you will also need XGBoost and TensorFlow - and this is exactly how you install them too.	Now start Jupyter:		
active	PASS	KEEP	01-intro	06-environment.md	59	images/06-environment-05-jupyter-notebook-crisp.png	The Jupyter notebook running in the browser	original screenshot	1020x540	PASS	none	PASS	It starts remotely on the codespace, but you can use it locally. VS Code automatically detects that something is running on port 8888 and forwards it to your machine - see the Ports panel. Open the forwarded address, and if you are asked to log in, take the token (or the entire URL) from the terminal and paste it into the browser.	That's it - you have a working environment: create a folder like `01-intro`, create a notebook, `import pandas as pd` and you are ready. For the homework you will typically read a CSV file with `pd.read_csv(...)`, finish the notebook, rename it to something like `homework.ipynb`, commit it, push it, and submit the URL of your repository in the homework form.		
active	PASS	KEEP	01-intro	06-environment.md	63	images/06-environment-06-homework-notebook-crisp.png	Working on the homework in a notebook inside the codespace	original screenshot	1020x720	PASS	none	PASS	That's it - you have a working environment: create a folder like `01-intro`, create a notebook, `import pandas as pd` and you are ready. For the homework you will typically read a CSV file with `pd.read_csv(...)`, finish the notebook, rename it to something like `homework.ipynb`, commit it, push it, and submit the URL of your repository in the homework form.	## Ubuntu 22.04 on AWS		
active	PASS	KEEP	01-intro	06-environment.md	152	images/sample-jupyter-notebook-crisp.png	See this example	original screenshot	1120x748	PASS	none	PASS	1. Find the URL of the notebook.	2. To open the notebook in Kaggle, in your web browser launch paste the URL as shown in below example. (*note the additional https://kaggle.com/kernels/welcome?src= before the URL of the notebook*)		
active	PASS	KEEP	01-intro	06-environment.md	160	images/sample-code-crisp.png	See this example	original screenshot	2790x1350	PASS	none	PASS	"3. Check if the notebook uses any datafile to read data from it. If yes, note the datafile name from the code.- *look for pd.read_csv(""somefilename.csv"")*."	4. You need to download the file into Kaggle. For this:		
active	PASS	KEEP	01-intro	06-environment.md	166	images/sample-data-file-crisp.png	See this example	original screenshot	1000x818	PASS	none	PASS	a. Find the URL of the datafile in github.	b. Suppose the URL is https://github.com/alexeygrigorev/mlbookcamp-code/blob/master/chapter-02-car-price/data.csv , you need use the URL to raw file, which will look something like https://raw.githubusercontent.com/alexeygrigorev/mlbookcamp-code/master/chapter-02-car-price/data.csv		
active	PASS	KEEP	01-intro	06-environment.md	172	images/add-code-for-datafile-download-crisp.png	See this example	original screenshot	3600x1320	PASS	none	PASS	5. In the notebook opened in Kaggle, add a Code block with the command to download the file - !wget your-datafile-url	This way you can start with the exercise using Kaggle		
active	PASS	KEEP	01-intro	07-numpy.md	44	images/07-numpy-01-zeros-ones-full-crisp.png	Creating arrays with zeros, ones and full	original screenshot	1000x580	PASS	none	PASS	```	If you have a Python list and want to create an array from it, use the `array` function and pass the list as the argument:		
active	PASS	KEEP	01-intro	07-numpy.md	69	images/07-numpy-02-array-from-list-crisp.png	Creating an array from a list and changing an element by index	original screenshot	1000x480	PASS	none	PASS	```	Two more useful functions for creating arrays. `arange` creates a range of numbers - it works like the Python function `range`, except instead of an iterator it gives us a NumPy array. The last element is exclusive:		
active	PASS	KEEP	01-intro	07-numpy.md	129	images/07-numpy-03-two-d-arrays-crisp.png	Accessing and changing an element of a two-dimensional array	original screenshot	1000x580	PASS	none	PASS	```	If we pass only one index, we get an entire row:		
active	PASS	KEEP	01-intro	07-numpy.md	165	images/07-numpy-04-columns-crisp.png	Reading and assigning a whole column	original screenshot	1000x500	PASS	none	PASS	```	## Randomly generated arrays		
active	PASS	KEEP	01-intro	07-numpy.md	191	images/07-numpy-05-random-seed-crisp.png	Fixing the seed makes random numbers reproducible	original screenshot	1000x440	PASS	none	PASS	Now every time we execute the cell, the results are the same, because we fixed the seed. (The exact numbers can vary a bit depending on the version of NumPy or the operating system, but in general the sequence should be the same.)	Here we multiplied everything by 100: instead of numbers between 0 and 1 we get numbers between 0 and 100. Why we can multiply an array by a number like this is explained below - it's an element-wise operation.		
active	PASS	KEEP	01-intro	07-numpy.md	243	images/07-numpy-06-element-wise-crisp.png	Adding and multiplying all elements of an array at once	original screenshot	1000x400	PASS	none	PASS	```	This is exactly what we did when we multiplied the random array by 100. And of course we can also divide, subtract, and do everything else we want. We can even chain operations:		
active	PASS	KEEP	01-intro	07-numpy.md	273	images/07-numpy-07-comparison-crisp.png	Element-wise comparison returns a boolean array	original screenshot	1000x370	PASS	none	PASS	```	The first element is less than 2, the second is less than 2, but 2 is greater than or equal to 2 - and the same is true for the rest.		
active	PASS	KEEP	01-intro	07-numpy.md	313	images/07-numpy-08-summarizing-crisp.png	Summarizing operations return a single number	original screenshot	1000x460	PASS	none	PASS	```	There is also the standard deviation, if you are interested:		
active	PASS	KEEP	01-intro	08-linear-algebra.md	41	images/08-linear-algebra-01-vector-operations-crisp.png	Multiplying a vector by a scalar and adding two vectors	original screenshot	3360x1170	PASS	none	PASS	```	This is pretty much the same as we saw in the previous lecture in NumPy: element-wise addition, and multiplication by 2 is element-wise multiplication. So what happens in linear algebra here is exactly what NumPy does.		
active	PASS	KEEP	01-intro	08-linear-algebra.md	66	images/08-linear-algebra-02-dot-product-crisp.png	The dot product of u and v, computed element by element	original screenshot	2820x1602	PASS	none	PASS	```	The formula: we have a sum that goes over all elements of our vectors, from 1 to n, where n is the dimension of the vector, and inside we multiply the i-th element of `u` with the i-th element of `v`.		
active	PASS	KEEP	01-intro	08-linear-algebra.md	101	images/08-linear-algebra-03-vector-vector-implementation-crisp.png	The vector-vector multiplication implementation and its test	original screenshot	3360x1278	PASS	none	PASS	It returns 14, like we calculated by hand.	Of course, in NumPy there is already a function that does this - `dot`:		
active	PASS	KEEP	01-intro	08-linear-algebra.md	118	images/08-linear-algebra-04-matrix-vector-idea-crisp.png	Matrix-vector multiplication: each row of U times the vector v	original screenshot	2940x1710	PASS	none	PASS	The way we do it: take the first row of the matrix `U` and multiply it with the vector `v`. This is a row - so this is exactly the situation from the dot product: a row vector times a column vector. Let's call the rows `U[0]`, `U[1]` and so on, using the same notation as in NumPy.	For each row of the matrix we do a vector-vector multiplication with `v`, and these results together are the answer. So if `U` has k rows - `U[0]` to `U[k-1]` - the result is k dot products, one per row. Of course the dimensionality should match: each row of `U` and the vector `v` must have the same number of elements, say n.		
active	PASS	KEEP	01-intro	08-linear-algebra.md	168	images/08-linear-algebra-05-matrix-vector-implementation-crisp.png	The matrix-vector multiplication function and its test	original screenshot	3360x1020	PASS	none	PASS	Same result.	### Matrix-matrix multiplication		
active	PASS	KEEP	01-intro	08-linear-algebra.md	228	images/08-linear-algebra-06-matrix-matrix-crisp.png	The matrix-matrix multiplication function and its test	original screenshot	3360x1230	PASS	none	PASS	Same result - which means our implementation works.	This way we expressed matrix-matrix multiplication using matrix-vector multiplication, and in turn we expressed matrix-vector multiplication with vector-vector multiplication.		
active	PASS	KEEP	01-intro	08-linear-algebra.md	262	images/08-linear-algebra-07-identity-matrix-crisp.png	The identity matrix: multiplying V by I gives V back	original screenshot	3360x1158	PASS	none	PASS	We multiplied `V` by `I` and got `V` back.	## Inverse		
active	PASS	KEEP	01-intro	08-linear-algebra.md	288	images/08-linear-algebra-08-inverse-crisp.png	Computing the inverse with np.linalg.inv	original screenshot	3360x1230	PASS	none	PASS	```	And when we multiply the inverse by the matrix, what we get is the identity matrix:		
active	PASS	KEEP	01-intro	09-pandas.md	64	images/09-pandas-01-create-dataframe-crisp.png	Creating a DataFrame from a list of lists with named columns	original screenshot	3360x1710	PASS	none	PASS	```	Usually I call DataFrames `df`.		
active	PASS	KEEP	01-intro	09-pandas.md	144	images/09-pandas-02-series-and-columns-crisp.png	A column as a Series and a subset of columns	original screenshot	3360x1380	PASS	none	PASS	It returns a DataFrame that has only these three columns.	We can add a new column using the same brackets notation - for example, a column `id` with numbers:		
active	PASS	KEEP	01-intro	09-pandas.md	219	images/09-pandas-03-iloc-crisp.png	Selecting rows by position with iloc	original screenshot	3360x1470	PASS	none	PASS	```	The index of the DataFrame is still the letter index, but we use the positional index to refer to the records.		
active	PASS	KEEP	01-intro	09-pandas.md	288	images/09-pandas-04-filtering-crisp.png	Filtering rows with a boolean condition on a column	original screenshot	3360x1230	PASS	none	PASS	```	We can combine conditions. Let's get cars that are manufactured by Nissan and produced after 2015. We combine the two conditions using the logical and operation, `&`:		
active	PASS	KEEP	01-intro	09-pandas.md	346	images/09-pandas-05-string-operations-crisp.png	The Vehicle_Style column after lowercasing and replacing spaces	original screenshot	3360x1350	PASS	none	PASS	Here we use the assignment operator to overwrite the column with this clean version, and now the values in the DataFrame are uniform.	## Summarizing operations		
active	PASS	KEEP	01-intro	09-pandas.md	391	images/09-pandas-06-describe-crisp.png	Summary statistics for all numerical columns with describe	original screenshot	3360x1440	PASS	none	PASS	```	I also often use `round` here to round everything to two decimal points - it makes the output more compact.		
active	PASS	KEEP	01-intro	09-pandas.md	436	images/09-pandas-07-missing-values-crisp.png	Counting missing values per column	original screenshot	3360x1230	PASS	none	PASS	```	Seeing a table of Trues and Falses is not always super useful, so what we usually do is call the `sum` method on it. The sum is applied to each column, and it tells us how many missing values there are in each column. Here: one missing value in Engine HP, and none anywhere else.		
active	PASS	KEEP	01-intro	09-pandas.md	466	images/09-pandas-08-groupby-crisp.png	Maximum price per transmission type with groupby	original screenshot	3360x630	PASS	none	PASS	```	We could use `mean`, `min` or `max` - any of the summarizing operations.		
active	PASS	KEEP	01-intro	10-summary.md	17	images/10-summary-01-features-target-model-imagegen-pilot.png	Features and the target go into a machine learning algorithm, which produces a model	conceptual imagegen	1706x922	PASS	none	PASS	These things go to a machine learning algorithm, and the output is a model. The model is something we can use later to predict the prices of cars for which we don't know the price: if there is a car for which we don't know the price, we put its features into the model, and the model tells us that the price for this car is, say, $23,000.	## ML vs Rule-Based Systems		
active	PASS	KEEP	01-intro	10-summary.md	23	images/10-summary-02-rule-based-spam-rules-imagegen-pilot.png	Hand-coded spam-filtering rules that get messy over time	conceptual imagegen	1716x917	PASS	none	PASS	In the second lesson we compared rule-based systems with machine learning. In a rule-based system, humans come up with rules and then convert these rules into a programming language like Python. Using the spam prediction example: we would manually analyze the data, try to extract patterns from it and code them as rules. Over time this becomes quite messy.	With machine learning we don't have this problem, because we don't need to encode the rules manually. The models extract patterns themselves: they just look at the training data - our features - and use statistics and mathematics to figure out what patterns are present in these features, and what we can use to make a decision whether something is spam or not.		
active	PASS	KEEP	01-intro	10-summary.md	27	images/10-summary-03-ml-training-data-imagegen-pilot.png	Training data: the features matrix and the target	conceptual imagegen	1713x918	PASS	none	PASS	With machine learning we don't have this problem, because we don't need to encode the rules manually. The models extract patterns themselves: they just look at the training data - our features - and use statistics and mathematics to figure out what patterns are present in these features, and what we can use to make a decision whether something is spam or not.	## Supervised Machine Learning		
